x,y,width,height,WcalcZ,HcalcZ
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
331, 268, 131, 63, 39.14660403053435, 41.19651147619048
